law_id	group	law	article	has_annex	text
OSH-01	OSH	職業安全衛生法	第21條		雇主依前條體格檢查發現應僱勞工不適於從事某種工作，不得僱用其從事該項工作。健康檢查發現勞工有異常情形者，應由醫護人員提供其健康指導；其經醫師健康評估結果，不能適應原有工作者，應參採醫師之建議，變更其作業場所、更換工作或縮短工作時間，並採取健康管理措施。 ／ 雇主應依前條檢查結果及個人健康注意事項，彙編成健康檢查手冊，發給勞工，並不得作為健康管理目的以外之用途。 ／ 前二項有關健康管理措施、檢查手冊內容及其他應遵行事項之規則，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第22條		事業單位勞工人數在五十人以上者，應置勞工健康服務人員或委託勞工健康服務專業機構，辦理健康管理、職業病與工作相關疾病之預防及健康促進等勞工健康保護事項。 ／ 前項職業病及工作相關疾病預防事項，應配合第二十三條之安全衛生人員辦理之。 ／ 第一項勞工健康服務人員、專業機構之資格與管理、勞工健康保護及其他應遵行事項之規則，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第22-1條		本法所稱職場霸凌，指勞工於勞動場所執行職務，因其事業單位人員利用職務或權勢等關係，逾越業務上必要且合理範圍，持續以冒犯、威脅、冷落、孤立、侮辱或其他不當之言詞或行為，致其身心健康遭受危害。但情節重大者，不以持續發生為必要。 ／ 雇主應採取必要之措施，防治職場霸凌之發生；其僱用勞工人數達下列規模者，並依各款規定辦理： ／ 一、勞工人數在十人以上者，應訂定職場霸凌申訴管道，並在工作場所公開揭示。 ／ 二、勞工人數在三十人以上者，應訂定職場霸凌防治措施、申訴及懲處規範，並在工作場所公開揭示。
OSH-01	OSH	職業安全衛生法	第22-2條		雇主於知悉勞工遭受職場霸凌時，應採取下列立即有效之適當措施： ／ 一、雇主因接獲被霸凌勞工申訴而知悉時： ／ （一）採行避免申訴人受職場霸凌情形再度發生之措施。 ／ （二）視申訴人需求及事件情節，提供相關諮詢或必要之協助及保護措施。 ／ （三）對申訴事件進行調查；申訴人有意願者，得予協調，如協調不成立時，應續行調查。 ／ （四）對行為人為適當之懲戒或處理。 ／ 二、雇主非因前款情形而知悉時： ／ （一）就相關事實進行必要之釐清。 ／ （二）依被霸凌勞工意願，協助其協調或提起申訴。 ／ （三）適度調整工作內容或工作場所。 ／ （四）依被霸凌勞工意願，提供相關諮詢或必要之協助及保護措施。 ／ 雇主對於職場霸凌事件之調查或協調，應秉持客觀、公正、公平原則；於調查時，除給予當事人充分陳述意見及答辯機會外，並應遵守利益迴避規定。雇主僱用勞工人數達一定規模者，應組成調查小組；其調查小組外聘成員比例不得少於二分之一。 ／ 雇主接獲被霸凌勞工申訴時，應於中央主管機關指定之網站登錄；事件之處理結果，亦應於該網站登錄之。 ／ 雇主依前三項所為之適當措施、調查處理與申復原則、一定規模之認定、資訊登錄方式，與前條第二項各款應訂定之防治措施、申訴及懲處規範，內容應包括職場霸凌之樣態、預防事項、教育訓練、申訴管道、調查、處理與申復程序、調查人員資格與調查小組之組成、利益迴避事項、懲戒處理及其他相關措施；其準則，由中央主管機關定之。 ／ 雇主所為職場霸凌事件之調查結果，經認定違反前項所定準則之規定，且調查程序有重大瑕疵者，主管機關或勞動檢查機構得要求重新調查，雇主不得拒絕。
OSH-01	OSH	職業安全衛生法	第22-3條		勞工遭受職場霸凌，應向雇主提起申訴。但被申訴人為最高負責人時，得逕向直轄市或縣（市）主管機關提起申訴。 ／ 勞工依前項但書規定，向直轄市或縣（市）主管機關提起申訴之期限，應依下列規定辦理： ／ 一、自職場霸凌行為終了時起，逾三年者，不予受理。 ／ 二、職場霸凌事件發生時勞工在職者，其得於離職之日起一年內申訴。但依前款規定有較長申訴期限者，從其規定。 ／ 直轄市或縣（市）主管機關為調查第一項申訴案件，得請專業人士或民間團體協助辦理。 ／ 直轄市或縣（市）主管機關依本法規定進行調查時，申訴人、被申訴人、受邀協助調查之個人或單位應予配合，並提供相關資料。被申訴人不得規避、妨礙或拒絕。 ／ 前四項有關直轄市或縣（市）主管機關受理職場霸凌申訴與最高負責人之範圍、處理程序、調查方式及其他相關事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第23條		雇主應依其事業單位之規模、性質，設置安全衛生組織、人員；並訂定職業安全衛生管理計畫，實施安全衛生管理及自動檢查。 ／ 前項之事業單位達一定規模或有第十五條第一項所定之工作場所者，應建置職業安全衛生管理系統。 ／ 中央主管機關對前項職業安全衛生管理系統得實施訪查，其管理績效良好得公開表揚之。 ／ 第一項及第二項所定安全衛生管理，應由雇主、雇主代理人或工作場所負責人綜理，並由事業單位各級主管依其職責指揮、監督所屬人員執行。 ／ 前四項之事業單位規模、性質、安全衛生組織、人員、職責、管理、自動檢查、職業安全衛生管理系統建置及其他相關事項之辦法，由中央主管機關定之。
OSH-01	OSH	職業安全衛生法	第24條		第十六條第一項所定具有危險性機械或設備，及其他特定機械之操作人員，雇主應僱用經中央主管機關認可之教育訓練或經技能檢定之合格人員充任之。 ／ 前項其他特定機械之種類及應具之容量，由中央主管機關公告之。 ／ 第一項操作人員作業時，應依第六條第一項、第二項及第三項授權訂定之安全衛生設備與措施之標準及規則執行職務。
OSH-01	OSH	職業安全衛生法	第25條		事業單位以其事業招人承攬時，其承攬人就承攬部分負本法所定雇主之責任；原事業單位就職業災害補償仍應與承攬人負連帶責任。再承攬者亦同。 ／ 原事業單位違反本法或有關安全衛生規定，致承攬人所僱勞工發生職業災害時，與承攬人負連帶賠償責任。再承攬者亦同。
OSH-01	OSH	職業安全衛生法	第26條		事業單位以其事業交付承攬時，應於事前就交付承攬之事業實施風險評估，將有關工作環境、危害因素與應採取之安全衛生設備及措施等評估結果告知該承攬人，並於承攬期間使承攬人依評估結果確實執行。 ／ 承攬人、再承攬人就其承攬部分交付再承攬時，應依前項規定辦理。 ／ 事業單位將其工作場所、設備出租或出借他人使用時，應於事前告知其場所、設備危害因素及安全衛生相關注意事項。
OSH-01	OSH	職業安全衛生法	第27條		事業單位以其事業交付承攬，並與承攬人、再承攬人之工作者共同作業時，原事業單位應採取下列必要措施： ／ 一、設置協議組織，並指定工作場所負責人，擔任指揮、監督及協調之工作。 ／ 二、工作之連繫及調整。 ／ 三、工作場所之巡視。 ／ 四、相關承攬人安全衛生教育訓練之指導及協助。 ／ 五、機械、設備、器具及人員之進場管制。 ／ 六、其他為防止職業災害之必要事項。 ／ 事業單位分別交付二個以上承攬人共同作業而未參與共同作業時，應指定承攬人之一負前項原事業單位之責任。 ／ 承攬人、再承攬人就其承攬部分交付再承攬時，亦應依第一項第二款至第六款規定辦理。 ／ 承攬人、再承攬人應配合辦理第一項所定原事業單位採取之必要措施。
